City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
213,Sergeyevka,KZ,53.88,67.4158,59.18,45,10,3.24,clear sky
214,Belmonte,BR,-15.8631,-38.8828,74.25,77,59,6.93,broken clouds
215,Moose Factory,CA,51.2585,-80.6094,73.4,73,0,17.27,clear sky
216,Do Gonbadan,IR,30.3586,50.7981,91.49,22,0,9.22,clear sky
217,Mocuba,MZ,-16.8392,36.9856,72.43,60,0,8.39,clear sky
218,Lorengau,PG,-2.0226,147.2712,80.2,83,82,11.25,broken clouds
219,Trincomalee,LK,8.5711,81.2335,79.68,76,93,15.19,overcast clouds
220,Ambon,ID,-3.6954,128.1814,76.23,16,40,5.75,scattered clouds
221,Northam,GB,51.0333,-4.2167,71.38,62,97,6.69,overcast clouds
222,Zhurivka,UA,50.5028,31.7849,70.3,52,67,8.79,broken clouds
223,Souillac,MU,-20.5167,57.5167,70.45,88,23,10.27,few clouds
224,Jamestown,US,42.097,-79.2353,83.17,54,100,5.99,overcast clouds
225,Muros,ES,42.7762,-9.0603,84.69,84,76,2.73,broken clouds
226,Komsomolskiy,UZ,40.4272,71.7189,77.72,27,69,6.91,broken clouds
227,Port Said,EG,31.2565,32.2841,81.37,73,0,16.69,clear sky
228,Klaksvik,FO,62.2266,-6.589,50.92,74,12,9.55,few clouds
229,Yasothon,TH,15.75,104.1333,80.38,79,49,2.1,scattered clouds
230,Hervey Bay,AU,-25.2986,152.8535,65.89,77,42,11.63,scattered clouds
231,Ulaanbaatar,MN,47.9077,106.8832,44.73,87,40,2.24,scattered clouds
232,Lofthus,NO,59.9468,10.8018,66.52,26,63,2.33,broken clouds
233,Baniachang,BD,24.5167,91.3667,76.91,90,82,3.87,broken clouds
234,Kodiak,US,57.79,-152.4072,53.11,82,100,9.22,light rain
235,Cayenne,GF,4.9333,-52.3333,87.84,66,75,11.5,broken clouds
236,Jalu,LY,29.0331,21.5482,91.76,28,0,10.49,clear sky
237,Bucerias,MX,20.75,-105.3333,87.98,62,20,3.44,few clouds
238,Carbondale,US,37.7273,-89.2168,91.06,58,40,13.8,scattered clouds
239,Monaghan,IE,54.25,-6.9667,61.39,81,100,2.86,light rain
240,Kavieng,PG,-2.5744,150.7967,81.84,79,46,16.64,light rain
241,Katsuura,JP,35.1333,140.3,73.96,80,99,17.16,overcast clouds
242,Iqaluit,CA,63.7506,-68.5145,47.93,61,40,9.22,scattered clouds
243,Torbay,CA,47.6666,-52.7314,70.39,66,40,9.22,scattered clouds
244,Hambantota,LK,6.1241,81.1185,78.66,80,77,17.02,broken clouds
245,Nuuk,GL,64.1835,-51.7216,52.41,43,40,15.01,scattered clouds
246,Kaeo,NZ,-35.1,173.7833,49.32,94,41,7.43,scattered clouds
247,Cabedelo,BR,-6.9811,-34.8339,83.07,75,38,16.87,scattered clouds
